"CODIGOINE","SUPERFICIE","ALTITUD","LONGITUD_ETRS89","LATITUD_ETRS89","EDAD_MEDIA","de0.18","de19.67","masde68","de0.12","HOMBRES","MUJERES"
"25234",30246.8425,468,0.8956651,42.16727663,45.49068744,1015,3652,1239,665,2910,2996
"25238",3433.95,485,1.08906662,41.5252865,54.36283186,25,126,75,15,122,104
"25239",16943.8828,739,1.45809616,42.38294481,45.0210396,116,561,131,82,418,390
"25240",2710.68,231,0.81511418,41.75233958,43.15854312,348,1230,289,264,929,938
"25242",3584.97,433,1.14344814,41.61104767,49.81385281,137,544,243,84,441,483
"25243",21140.78,974,0.79595308,42.70142712,40.85994194,938,4001,573,661,2811,2701
"25244",1967.46,355,1.10596977,41.64832692,42.72796935,105,332,85,70,270,252
"25245",5878.9863,978,0.71715457,42.47657561,47.30347349,74,363,110,48,292,255
"25247",1538.0138,1256,0.72689507,42.74739884,44.1192053,16,122,13,11,83,68
"25248",1390.63,290,0.96086785,41.61470838,47.97152718,204,636,319,144,587,572
"25249",5350.2939,403,1.25252666,41.911243,52.21359223,21,125,60,10,102,104
"25250",10478.0539,629,1.02291209,41.99540047,50.9925187,46,245,110,36,224,177
"25251",848.9313,253,0.62031878,41.71178761,44.18027572,149,626,168,111,497,446
"25252",1898.8,247,0.9259551,41.66222337,43.46879334,130,463,128,97,356,365
"25253",1884.51,663,0.94717724,41.38396545,58.23333333,9,106,65,6,91,89
"25254",2139.051,193,0.72626516,41.68942758,45.9137931,159,662,223,121,533,511
"25255",3747.44,480,0.97556091,41.42851246,50.45134576,56,304,123,35,254,229
"25901",5643.4821,898,1.22827227,42.56377817,47.33888889,50,238,72,33,191,169
"25902",3483.3,408,1.05462347,41.55922263,51.82753404,83,374,204,60,347,314
"25903",10846.8273,940,1.13216716,42.59385976,48.69453376,42,199,70,28,166,145
"25904",6300.4727,529,0.87788434,42.09252449,52.42261905,17,106,45,12,94,74
"25905",5426.61,570,1.34224779,41.62514605,49.72979215,53,269,111,39,222,211
"25906",12377.7086,663,1.34232227,42.2941177,52.06498195,28,176,73,16,152,125
"25907",8916.7113,471,1.27328869,41.75443899,49.3857868,74,364,153,48,313,278
"25908",10228.8617,601,1.3380683,42.20207892,52.52653061,28,144,73,19,139,106
"25909",10624.2634,991,1.48002645,42.23346991,53.53333333,13,120,47,8,96,84
"25910",6856.6255,1204,1.56621068,42.2314901,52.20869565,7,77,31,6,68,47
"25911",5613.8614,411,1.19779836,41.7622861,50.68958743,61,312,136,32,267,242
"25912",5624.2677,258,0.38912494,41.65214356,46.16802168,178,686,243,123,579,528
"25913",1234.96,1173,1.82612652,42.34519312,48.5483871,7,72,14,3,55,38
"26001",1809.9082,590,-2.71130867,42.57304891,49.25702811,36,156,57,24,146,103
"26002",3486.2,346,-2.2916499,42.44592226,46.9244403,143,699,230,93,582,490
"26003",5410.8355,638,-1.9941216,41.96170118,54.82463466,45,270,164,28,239,240
"26004",6615.4241,1039,-2.48762529,42.16750753,57.42424242,0,50,16,0,46,20
"26005",2303.4541,537,-2.47260697,42.35697454,44.15111502,640,2132,636,425,1735,1673
"26006",2023.5449,449,-2.44084091,42.40622168,43.8747927,431,1570,411,292,1219,1193
"26007",3108.13,348,-2.12053306,42.40429832,50.82202112,79,394,190,53,347,316
"26008",3908.3206,343,-1.8880546,42.22958732,44.02637363,529,1628,573,350,1426,1304
"26009",1716.6093,567,-2.81705346,42.41347595,49.77952756,67,306,135,46,269,239
"26010",649.1888,575,-2.69021015,42.40509672,54.4953271,11,63,33,8,65,42
"26011",19411.8353,300,-1.749283,42.17839836,44.96664211,1584,6122,1797,1103,4770,4733
"26012",2810.5763,1061,-2.59784925,42.21595126,54.53846154,1,19,6,1,16,10
"26013",505.0872,473,-2.90017001,42.57393008,44.83833718,72,284,77,43,238,195
"26014",9090.89,661,-2.76414946,42.2613112,60.5,39,238,229,25,282,224
"26015",838.6763,542,-2.71945802,42.38657492,53.13807531,30,114,95,16,126,113
"26016",592.4093,598,-2.6949118,42.38786292,61.3,1,17,12,0,21,9
"26017",4833.4235,655,-2.23509419,42.21176132,47.81818182,59,289,103,33,223,228
"26018",8539.9786,525,-2.09983984,42.22815991,43.12882895,2766,9549,2441,1865,7333,7423
"26019",729.43,355,-2.25177142,42.43517649,45.57202505,69,309,101,51,261,218
"26020",5657.5395,563,-2.16991898,42.34531809,46.0265252,106,485,163,68,398,356
