"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Pastoriza, A-27044","1.643","1.478","3.002","2.613","253","15.890","14.033"
"Antas de Ulla-27003","849","739","1.976","2.614","254","15.872","13.990"
"Láncara-27026","1.267","1.114","2.605","2.639","257","15.750","13.971"
"Carballedo-27009","955","841","2.193","2.681","265","15.489","13.845"
"Navia de Suarna-27034","469","426","1.081","2.701","266","15.366","13.869"
"Baleira-27004","606","548","1.241","2.704","268","15.360","13.607"
"Ourol-27038","485","442","1.018","2.705","269","15.359","13.692"
"Paradela-27042","944","832","1.779","2.741","270","15.100","13.501"
"Abadín-27001","1.286","1.122","2.367","2.743","271","15.096","13.578"
"Samos-27055","618","545","1.278","2.786","275","14.736","13.160"
"Nogais, As-27037","502","448","1.079","2.790","276","14.723","13.139"
"Páramo, O-27043","637","560","1.366","2.811","278","14.547","13.230"
"Cervantes-27012","615","535","1.338","2.868","280","13.631","12.423"
"Agrupación municipios pequeños-27","1.501","1.334","2.973","-","-","15.561","14.004"
"Ourense","166.412","147.832","307.651",NA,NA,"21.523","18.271"
"Pereiro de Aguiar, O-32058","2.893","2.579","6.275","634","18","25.756","21.135"
"Ourense-32054","67.020","60.390","105.233","772","24","24.925","20.678"
"Barco de Valdeorras, O-32009","8.789","7.617","13.395","1.140","44","22.472","19.017"
"San Cibrao das Viñas-32075","2.683","2.414","5.405","1.344","61","21.492","18.300"
"Allariz-32001","3.295","2.928","6.188","1.366","62","21.373","18.091"
"Barbadás-32008","5.734","5.092","11.037","1.385","65","21.275","18.096"
"Carballeda de Valdeorras-32017","623","520","1.545","1.430","73","21.020","18.370"
"Vilamarín-32087","619","554","1.854","1.491","77","20.717","17.750"
"Verín-32085","7.669","6.601","13.723","1.585","88","20.288","17.349"
"Pobra de Trives, A-32063","1.147","1.013","2.067","1.586","89","20.281","17.392"
"Toén-32081","1.011","893","2.355","1.595","91","20.233","17.391"
"Rúa, A-32072","2.589","2.267","4.314","1.623","94","20.115","17.274"
"Amoeiro-32002","1.034","900","2.280","1.630","95","20.087","17.189"
"Carballiño, O-32019","7.577","6.721","14.027","1.745","109","19.524","16.797"
"Rubiá-32073","694","611","1.393","1.755","111","19.479","16.907"
"Paderne de Allariz-32055","637","577","1.384","1.773","113","19.425","17.118"
"Coles-32026","1.305","1.154","3.050","1.817","117","19.217","16.566"
"Xinzo de Limia-32032","5.791","5.039","9.715","1.823","118","19.203","16.536"
"Esgos-32031","483","426","1.116","1.825","119","19.202","16.819"
"Ribadavia-32069","2.842","2.454","5.024","1.844","121","19.125","16.599"
"Cenlle-32025","541","480","1.120","1.848","123","19.109","16.730"
"Celanova-32024","2.901","2.607","5.649","1.901","132","18.948","16.466"
"Maceda-32043","1.488","1.324","2.872","1.910","135","18.925","16.455"
"Taboadela-32079","693","597","1.429","1.965","143","18.694","16.353"
"Vilamartín de Valdeorras-32088","903","780","1.790","2.017","154","18.509","16.283"
"Sandiás-32077","591","518","1.206","2.029","156","18.446","16.082"
"Nogueira de Ramuín-32052","874","775","1.998","2.046","160","18.389","16.171"
"Castro Caldelas-32023","589","523","1.224","2.088","165","18.195","15.921"
"Lobios-32042","736","629","1.708","2.097","166","18.164","16.193"
"Merca, A-32047","873","780","1.913","2.141","172","18.002","15.803"
"Gudiña, A-32034","692","613","1.254","2.156","175","17.961","15.587"
"Leiro-32040","651","577","1.568","2.238","186","17.622","15.591"
"Muíños-32051","476","433","1.502","2.255","188","17.555","15.548"
"Baños de Molgas-32007","679","599","1.519","2.299","198","17.330","15.333"
"Maside-32045","1.133","1.000","2.705","2.304","199","17.294","15.166"
"Cartelle-32020","1.070","963","2.642","2.311","200","17.248","15.328"
"Irixo, O-32035","572","523","1.466","2.335","204","17.147","15.381"
"Viana do Bolo-32086","1.598","1.419","2.886","2.336","205","17.145","15.082"
"Rairiz de Veiga-32067","518","450","1.266","2.357","209","17.058","15.008"
"Vilar de Barrio-32089","577","508","1.307","2.360","210","17.038","15.165"
"Oímbra-32053","671","547","1.712","2.381","214","16.967","14.906"
"San Cristovo de Cea-32076","872","760","2.137","2.404","220","16.860","14.968"
"Bande-32006","705","620","1.528","2.440","227","16.680","14.898"
"Boborás-32013","695","611","2.285","2.476","231","16.487","14.721"
"Peroxa, A-32059","591","526","1.819","2.484","232","16.473","14.698"
"Sarreaus-32078","529","470","1.162","2.490","233","16.450","14.903"
"Carballeda de Avia-32018","565","488","1.286","2.500","234","16.392","14.649"
"Cortegada-32027","463","401","1.085","2.504","235","16.387","14.574"
"Castrelo de Miño-32022","624","554","1.349","2.513","236","16.349","14.629"
"Xunqueira de Ambía-32036","626","544","1.375","2.522","237","16.297","14.506"
"Monterrei-32050","1.190","1.010","2.529","2.527","238","16.271","14.630"
"San Amaro-32074","435","388","1.089","2.529","239","16.268","14.443"
"Avión-32004","422","367","1.795","2.538","241","16.225","14.585"
"Melón-32046","500","436","1.184","2.548","243","16.182","14.510"
"Laza-32039","622","544","1.228","2.553","244","16.177","14.618"
"Mezquita, A-32048","478","446","1.023","2.619","255","15.850","14.121"
"Piñor-32061","488","437","1.176","2.628","256","15.800","14.093"
"Cualedro-32028","672","580","1.679","2.643","258","15.739","14.230"
"Entrimo-32030","538","488","1.140","2.650","259","15.711","14.177"
"Ramirás-32068","562","498","1.584","2.652","260","15.690","14.202"
"Bola, A-32014","436","382","1.156","2.655","261","15.684","14.239"
"Padrenda-32056","733","623","1.748","2.660","262","15.654","14.242"
"Vilardevós-32091","818","712","1.846","2.752","272","15.012","13.591"
"Trasmiras-32082","623","531","1.286","2.761","273","14.956","13.550"
"Riós-32071","709","627","1.516","2.771","274","14.886","13.541"
"Agrupación municipios pequeños-32","8.255","7.394","19.530","-","-","16.258","14.528"
"Pontevedra","508.750","443.350","942.665",NA,NA,"23.776","19.850"
"Nigrán-36035","9.744","8.413","17.675","229","3","29.760","24.130"
"Baiona-36003","6.810","5.815","12.122","463","9","27.174","22.179"
"Pontevedra-36038","46.951","41.545","83.029","478","10","27.027","22.164"
"Vigo-36057","166.204","146.844","295.364","479","11","27.022","22.199"
"Poio-36041","9.043","7.961","17.082","759","23","24.968","20.740"
"Gondomar-36021","7.657","6.576","14.286","796","27","24.805","20.530"
"Bueu-36004","6.791","5.522","12.009","912","32","23.934","19.888"
"Cangas-36008","14.930","12.619","26.542","965","34","23.569","19.718"
"Marín-36026","12.690","10.306","24.319","975","37","23.501","19.699"
"Mos-36033","7.860","6.809","15.078","1.153","45","22.432","18.941"
"Moaña-36029","10.724","9.310","19.399","1.178","48","22.301","18.746"
"Redondela-36045","15.774","13.895","29.218","1.207","51","22.163","18.697"
"Vilaboa-36058","2.881","2.558","5.874","1.237","53","22.036","18.550"
"Vilagarcía de Arousa-36060","19.982","17.434","37.456","1.258","54","21.925","18.556"
"Tui-36055","8.741","7.338","16.701","1.272","55","21.875","18.531"
"Porriño, O-36039","10.459","9.157","19.848","1.315","58","21.609","18.294"
"Sanxenxo-36051","9.396","8.296","17.347","1.367","63","21.369","18.056"
"Pontecesures-36044","1.786","1.514","3.052","1.404","68","21.177","17.856"
"Guarda, A-36023","5.536","4.591","9.977","1.417","72","21.124","17.935"
"Tomiño-36054","7.019","5.905","13.499","1.464","75","20.838","17.701"
"Salceda de Caselas-36049","4.837","4.208","9.164","1.498","79","20.692","17.657"
"Oia-36036","1.675","1.459","3.053","1.530","85","20.535","17.538"
"Soutomaior-36053","3.820","3.394","7.395","1.531","86","20.522","17.508"
"Ponteareas-36042","11.945","10.225","22.877","1.535","87","20.493","17.516"
"Barro-36002","1.802","1.521","3.680","1.587","90","20.275","17.369"
"Salvaterra de Miño-36050","4.879","4.111","9.819","1.599","92","20.197","17.329"
"Cerdedo-Cotobade-36902","2.267","1.938","5.699","1.638","96","20.035","17.148"
"Caldas de Reis-36005","5.024","4.252","9.785","1.704","102","19.721","16.972"
"Estrada, A-36017","11.250","9.834","20.479","1.732","106","19.570","16.785"
"Catoira-36010","1.745","1.515","3.335","1.738","108","19.551","16.705"
"Lalín-36024","10.091","8.773","20.218","1.750","110","19.502","16.669"
"Ponte Caldelas-36043","2.502","2.168","5.494","1.764","112","19.452","16.711"
"Rosal, O-36048","3.492","2.904","6.234","1.783","114","19.397","16.676"
"Mondariz-36030","1.930","1.645","4.440","1.809","116","19.270","16.758"
"Pazos de Borbén-36037","1.238","1.080","2.999","1.841","120","19.133","16.597"
"Valga-36056","2.888","2.451","5.869","1.899","130","18.955","16.408"
"Portas-36040","1.435","1.204","2.940","1.912","136","18.916","16.363"
"Ribadumia-36046","2.580","2.340","5.052","1.928","137","18.847","16.248"
"Silleda-36052","4.676","4.082","8.687","1.933","138","18.824","16.186"
"Moraña-36032","2.146","1.815","4.179","1.949","141","18.751","16.280"
"Grove, O-36022","6.003","5.438","10.650","1.954","142","18.735","16.143"
"Meis-36028","2.446","2.105","4.791","1.976","146","18.640","16.221"
"Cambados-36006","7.468","6.717","13.744","1.997","150","18.568","16.024"
"Fornelos de Montes-36019","684","585","1.616","2.045","159","18.395","16.324"
"Cuntis-36015","2.445","2.116","4.677","2.065","162","18.302","16.056"
"Neves, As-36034","1.701","1.416","3.841","2.083","164","18.211","15.988"
"Forcarei-36018","1.704","1.510","3.388","2.122","169","18.080","15.886"
"Vilanova de Arousa-36061","5.178","4.619","10.302","2.145","173","17.994","15.729"
"Covelo-36013","867","764","2.396","2.167","179","17.899","15.777"
"Crecente-36014","663","560","2.012","2.231","185","17.653","15.535"
"Campo Lameiro-36007","804","673","1.817","2.257","189","17.550","15.571"
"Cañiza, A-36009","2.264","1.923","5.180","2.288","194","17.394","15.263"
"Arbo-36001","1.263","1.047","2.580","2.292","197","17.360","15.357"
"Lama, A-36025","737","636","2.445","2.368","212","17.014","15.172"
"Vila de Cruces-36059","2.574","2.210","5.246","2.369","213","17.011","14.858"
"Meaño-36027","2.787","2.438","5.272","2.406","221","16.859","14.854"
"Agolada-36020","1.076","916","2.344","2.574","250","16.054","14.306"
"Illa de Arousa, A-36901","2.727","2.464","4.926","2.667","263","15.577","13.892"
"Rodeiro-36047","1.399","1.226","2.437","2.702","267","15.361","13.687"
"Dozón-36016","474","407","1.082","2.803","277","14.624","13.353"
"Agrupación municipios pequeños-36","286","253","644","-","-","26.386","21.601"
"Madrid, Comunidad de","3.781.810","3.378.945","6.663.394",NA,NA,"36.729","29.132"
"Madrid","3.781.810","3.378.945","6.663.394",NA,NA,"36.729","29.132"
"Pozuelo de Alarcón-28115","49.613","45.305","86.422","2","1","79.506","58.143"
"Boadilla del Monte-28022","29.707","27.145","54.570","3","2","61.910","46.386"
"Alcobendas-28006","61.878","55.393","117.040","4","3","60.842","45.580"
"Majadahonda-28080","39.283","35.667","71.826","7","4","54.506","41.427"
"Torrelodones-28152","12.913","11.742","23.717","9","5","54.123","40.986"
"Villanueva de la Cañada-28176","10.720","9.522","21.445","10","6","52.826","40.680"
"Rozas de Madrid, Las-28127","54.494","49.715","95.814","13","7","51.776","39.463"
"Valdemorillo-28160","7.558","6.669","12.518","14","8","51.102","40.582"
"Villaviciosa de Odón-28181","15.878","14.280","27.835","20","9","45.241","35.292"
"San Agustín del Guadalix-28129","6.899","6.189","13.379","25","10","43.708","33.864"
"Venturada-28169","1.182","1.072","2.163","30","11","42.259","32.856"
"Tres Cantos-28903","29.350","26.963","47.722","31","12","42.248","32.898"
"Paracuellos de Jarama-28104","14.121","12.916","25.269","35","13","41.284","32.342"
"Cobeña-28041","4.014","3.619","7.428","36","14","40.968","32.072"
"Madrid-28079","1.905.667","1.736.865","3.266.126","37","15","40.083","31.521"
"Algete-28009","11.396","9.951","20.611","40","16","39.548","31.017"
"Hoyo de Manzanares-28072","4.727","4.224","8.434","41","17","39.465","31.079"
"Villanueva del Pardillo-28177","9.126","8.224","17.180","43","18","39.129","30.676"
"Soto del Real-28144","4.755","4.219","8.799","54","19","37.649","29.821"
"Valdeolmos-Alalpardo-28162","2.273","2.058","4.136","59","20","37.155","29.511"
"San Sebastián de los Reyes-28134","52.517","47.073","89.276","64","21","36.395","28.764"
"Navacerrada-28093","1.571","1.397","2.972","75","22","35.035","27.976"
"Collado Mediano-28046","3.965","3.530","6.958","77","23","34.892","27.810"
"Galapagar-28061","18.828","16.742","33.742","80","24","34.686","27.737"
"Moralzarzal-28090","7.000","6.262","13.026","87","25","34.177","27.477"
"Alpedrete-28010","8.248","7.403","14.575","89","26","33.930","27.290"
"Colmenar Viejo-28045","28.667","25.666","50.752","93","27","33.541","26.986"
"Villalbilla-28172","8.351","7.478","13.878","94","28","33.430","26.831"
"Rivas-Vaciamadrid-28123","51.014","46.344","88.150","104","29","33.225","26.648"
"Boalo, El-28023","4.281","3.862","7.508","106","30","33.211","26.804"
"Daganzo de Arriba-28053","5.745","5.115","10.205","107","31","33.166","26.649"
"Bustarviejo-28028","1.364","1.215","2.503","110","32","33.065","26.769"
"Becerril de la Sierra-28018","3.269","2.871","5.714","115","33","32.938","26.630"
"Escorial, El-28054","9.342","8.279","16.162","118","34","32.546","26.313"
"Arroyomolinos-28015","17.242","15.667","31.396","123","35","32.346","26.064"
"San Lorenzo de El Escorial-28131","9.883","8.867","18.369","125","36","32.300","26.078"
"Colmenarejo-28044","4.776","4.202","9.130","137","37","31.784","25.792"
"Manzanares el Real-28082","4.992","4.512","8.840","139","38","31.713","25.515"
"Brunete-28026","5.556","4.909","10.736","156","39","31.383","25.350"
"Griñón-28066","5.558","4.846","10.319","167","40","30.957","25.023"
"Molinos, Los-28087","2.588","2.301","4.389","170","41","30.832","24.944"
"Pedrezuela-28108","3.279","2.924","5.892","187","42","30.606","24.957"
"Batres-28017","896","778","1.684","192","43","30.535","24.781"
"Nuevo Baztán-28100","3.457","2.966","6.276","197","44","30.369","24.499"
"Miraflores de la Sierra-28085","3.300","2.907","6.108","210","45","30.178","24.425"
"Guadarrama-28068","9.243","8.247","16.032","240","46","29.568","24.276"
"Villar del Olmo-28179","1.116","949","2.011","246","47","29.471","24.011"
"Cercedilla-28038","3.703","3.338","7.026","261","48","29.184","23.799"
"Quijorna-28119","1.844","1.619","3.439","290","49","28.851","23.763"
"Valdemoro-28161","41.713","36.548","75.983","315","50","28.625","23.522"
"Getafe-28065","106.022","91.802","183.374","326","51","28.530","23.477"
"Torremocha de Jarama-28153","434","392","1.019","328","52","28.518","23.528"
"Meco-28083","7.965","7.033","14.305","335","53","28.438","23.312"
"Sevilla la Nueva-28141","4.980","4.438","9.318","337","54","28.432","23.237"
"Guadalix de la Sierra-28067","3.480","3.041","6.214","339","55","28.424","23.245"
"Fuente el Saz de Jarama-28059","3.441","3.000","6.696","349","56","28.280","23.258"
"Valdetorres de Jarama-28164","2.435","2.101","4.497","361","57","28.117","23.063"
"Collado Villalba-28047","33.685","29.624","63.679","372","58","28.001","23.018"
"Torrejón de la Calzada-28149","4.951","4.309","8.872","373","59","27.997","22.993"
"Alcalá de Henares-28005","110.818","95.740","195.649","376","60","27.966","23.012"
"Alcorcón-28007","98.761","85.703","170.514","378","61","27.954","23.079"
"Ajalvir-28002","2.412","2.155","4.712","381","62","27.931","22.838"
"Cubas de la Sagra-28050","3.236","2.843","6.413","382","63","27.927","23.080"
"Pinto-28113","29.807","26.022","52.526","386","64","27.907","22.988"
"Camarma de Esteruelas-28032","4.158","3.646","7.336","395","65","27.841","22.993"
"Aranjuez-28013","30.436","25.956","59.607","417","66","27.635","22.834"
"Anchuelo-28012","716","622","1.271","430","67","27.467","22.613"
"Villamantilla-28175","764","657","1.441","445","68","27.350","22.674"
"Navalcarnero-28096","15.637","13.612","29.298","473","69","27.054","22.433"
"Velilla de San Antonio-28167","7.006","6.111","12.236","476","70","27.039","22.245"
"Fresno de Torote-28057","1.201","1.042","2.221","485","71","26.986","22.400"
"Coslada-28049","47.588","40.931","81.661","510","72","26.691","22.130"
"Serranillos del Valle-28140","2.351","2.043","4.165","518","73","26.648","21.956"
"Loeches-28075","5.015","4.420","8.791","519","74","26.635","22.088"
"Santos de la Humosa, Los-28137","1.395","1.190","2.590","571","75","26.268","21.784"
"Robledo de Chavela-28125","2.025","1.740","4.270","577","76","26.205","21.812"
"Navalafuente-28094","791","701","1.449","589","77","26.107","21.633"
"Torrejón de Ardoz-28148","71.688","62.708","131.376","606","78","25.961","21.591"
"Leganés-28074","107.257","91.857","189.861","628","79","25.789","21.544"
"San Fernando de Henares-28130","23.133","19.974","39.432","629","80","25.779","21.453"
"Cabrera, La-28030","1.419","1.259","2.667","640","81","25.709","21.252"
"Pozuelo del Rey-28116","648","583","1.147","649","82","25.619","21.360"
"Talamanca de Jarama-28145","2.072","1.856","3.857","655","83","25.575","21.371"
"Colmenar del Arroyo-28042","838","732","1.725","656","84","25.557","21.248"
"Molar, El-28086","4.402","3.851","8.938","673","85","25.486","21.165"
"Arganda del Rey-28014","30.101","26.020","55.389","683","86","25.435","21.211"
"Chapinería-28051","1.171","1.016","2.328","716","87","25.285","21.003"
"Rascafría-28120","862","749","1.664","722","88","25.233","20.960"
"Villanueva de Perales-28178","816","697","1.563","723","89","25.232","21.080"
"Casarrubuelos-28036","2.084","1.799","3.778","726","90","25.203","21.101"
"Titulcia-28147","695","596","1.313","730","91","25.167","21.071"
"Moraleja de Enmedio-28089","2.905","2.493","5.136","733","92","25.149","21.063"
"Torrejón de Velasco-28150","2.396","2.059","4.382","769","93","24.937","20.789"
"Campo Real-28033","3.475","2.993","6.210","785","94","24.850","20.756"
"Torrelaguna-28151","2.396","2.097","4.760","805","95","24.712","20.767"
"Buitrago del Lozoya-28027","1.035","909","1.884","822","96","24.628","20.648"
"Móstoles-28092","115.066","98.704","209.184","834","97","24.570","20.637"
"Torres de la Alameda-28154","4.213","3.619","7.779","871","98","24.255","20.342"
"Zarzalejo-28183","872","742","1.658","900","99","24.036","20.373"
"Navalagamella-28095","1.269","1.098","2.610","906","100","23.999","20.292"
"Mejorada del Campo-28084","12.498","10.695","23.274","916","101","23.897","20.149"
"San Martín de la Vega-28132","9.588","8.172","19.170","924","102","23.833","20.088"
"Ciempozuelos-28040","11.873","10.336","24.592","934","103","23.778","20.061"
"Fresnedillas de la Oliva-28056","808","682","1.572","950","104","23.625","20.009"
"Humanes de Madrid-28073","10.271","8.726","19.743","972","105","23.505","19.842"
"Lozoyuela-Navas-Sieteiglesias-28901","648","547","1.299","987","106","23.462","19.770"
"Villamanta-28174","1.318","1.102","2.555","990","107","23.455","19.738"
"Vellón, El-28168","1.075","945","1.958","1.002","108","23.368","19.797"
"Valdeavero-28156","918","806","1.554","1.006","109","23.348","19.743"
"San Martín de Valdeiglesias-28133","4.074","3.472","8.459","1.013","110","23.277","19.586"
"Alamo, El-28004","4.685","3.990","9.470","1.027","111","23.150","19.622"
"Fuenlabrada-28058","106.592","90.018","193.700","1.031","112","23.139","19.527"
"Pelayos de la Presa-28109","1.113","938","2.596","1.047","113","23.048","19.533"
"Morata de Tajuña-28091","4.022","3.352","7.683","1.070","114","22.951","19.442"
"Chinchón-28052","2.729","2.297","5.331","1.082","115","22.856","19.276"
"Parla-28106","61.929","52.396","130.124","1.105","116","22.709","19.285"
"Aldea del Fresno-28008","1.206","1.028","2.838","1.106","117","22.688","19.277"
"Carabaña-28035","1.024","859","2.010","1.108","118","22.670","19.228"
"Valdilecha-28165","1.467","1.213","2.933","1.159","119","22.401","19.072"
"Navas del Rey-28099","1.317","1.110","2.918","1.181","120","22.277","19.009"
"Villarejo de Salvanés-28180","4.125","3.410","7.335","1.234","121","22.043","18.758"
"Colmenar de Oreja-28043","4.485","3.599","8.032","1.268","122","21.879","18.743"
"Santa María de la Alameda-28135","673","561","1.254","1.285","123","21.764","18.327"
"Villa del Prado-28171","3.237","2.791","6.520","1.312","124","21.636","18.488"
"Perales de Tajuña-28110","1.479","1.250","2.935","1.336","125","21.514","18.335"
"Cadalso de los Vidrios-28031","1.390","1.157","3.039","1.384","126","21.281","18.203"
"Tielmes-28146","1.364","1.160","2.650","1.395","127","21.233","18.059"
"Orusco de Tajuña-28102","588","488","1.244","1.407","128","21.160","18.248"
"Fuentidueña de Tajo-28060","1.015","826","2.053","1.452","129","20.901","17.988"
"Belmonte de Tajo-28019","964","833","1.664","1.548","130","20.446","17.441"
"Estremera-28055","532","449","1.260","1.554","131","20.430","17.580"
"Villaconejos-28170","1.725","1.399","3.388","1.709","132","19.707","17.167"
"Cenicientos-28037","928","751","2.033","1.934","133","18.818","16.313"
"Agrupación municipios pequeños-28","8.965","7.747","17.958","-","-","24.352","20.374"
"Murcia, Región de","744.650","630.784","1.493.898",NA,NA,"23.538","19.684"
"Murcia","744.650","630.784","1.493.898",NA,NA,"23.538","19.684"
"Molina de Segura-30027","36.388","31.114","71.890","364","1","28.091","22.845"
"Murcia-30030","227.469","196.153","453.258","448","2","27.314","22.370"
"Cartagena-30016","109.271","89.416","214.802","614","3","25.906","21.486"
"Torres de Cotillas, Las-30038","10.377","8.636","21.471","958","4","23.600","19.788"
"San Javier-30035","16.190","13.784","32.489","967","5","23.553","19.662"
"Alcantarilla-30005","18.772","15.557","42.048","1.118","6","22.612","19.130"
"Alhama de Murcia-30008","11.268","9.762","22.077","1.149","7","22.441","18.876"
"Unión, La-30041","9.206","7.351","20.225","1.297","8","21.671","18.528"
"Alcázares, Los-30902","7.219","6.205","16.138","1.377","9","21.330","18.194"
"Caravaca de la Cruz-30015","12.912","10.589","25.760","1.431","10","21.018","17.852"
"Ceutí-30018","5.476","4.588","11.787","1.439","11","20.978","17.879"
"San Pedro del Pinatar-30036","11.397","9.566","25.476","1.442","12","20.953","17.895"
"Lorquí-30025","3.343","2.767","7.141","1.472","13","20.806","17.879"
"Santomera-30901","7.947","6.746","16.206","1.497","14","20.699","17.578"
"Lorca-30024","48.459","41.285","94.404","1.570","15","20.362","17.358"
"Villanueva del Río Segura-30042","1.331","1.148","2.910","1.593","16","20.235","17.393"
"Alguazas-30007","4.121","3.440","9.638","1.603","17","20.184","17.368"
"Archena-30009","8.813","7.405","19.301","1.622","18","20.121","17.299"
"Aguilas-30003","17.462","15.194","35.301","1.696","19","19.755","16.862"
"Cieza-30019","17.769","15.231","34.988","1.703","20","19.724","17.006"
"Librilla-30023","2.915","2.461","5.305","1.706","21","19.716","17.049"
"Jumilla-30022","12.489","10.469","25.600","1.781","22","19.404","16.745"
"Torre-Pacheco-30037","18.667","15.898","35.676","1.786","23","19.381","16.591"
"Yecla-30043","17.815","14.747","34.432","1.801","24","19.323","16.655"
"Fuente Alamo de Murcia-30021","7.806","6.592","16.583","1.811","25","19.263","16.594"
"Aledo-30006","532","456","1.022","1.924","26","18.866","16.446"
"Totana-30039","16.515","14.582","32.008","1.931","27","18.834","16.279"
"Pliego-30032","2.135","1.679","3.847","1.937","28","18.800","16.341"
"Cehegín-30017","7.251","5.726","14.983","1.987","29","18.606","16.164"
"Calasparra-30013","5.234","4.353","10.178","2.004","30","18.554","16.120"
"Abarán-30002","6.707","5.920","12.964","2.022","31","18.492","15.956"
"Puerto Lumbreras-30033","7.872","6.779","15.394","2.036","32","18.424","15.959"
"Abanilla-30001","3.078","2.568","6.127","2.052","33","18.372","16.074"
"Bullas-30012","6.425","5.185","11.530","2.057","34","18.353","15.991"
"Beniel-30010","4.975","4.133","11.318","2.128","35","18.039","15.731"
"Mula-30029","8.977","7.533","16.883","2.187","36","17.842","15.615"
"Blanca-30011","3.252","2.749","6.539","2.202","37","17.781","15.530"
"Mazarrón-30026","15.233","13.391","32.209","2.211","38","17.743","15.391"
"Fortuna-30020","4.453","3.640","10.112","2.279","39","17.459","15.345"
"Ricote-30034","655","539","1.264","2.323","40","17.202","15.241"
"Campos del Río-30014","1.016","882","2.028","2.375","41","16.992","15.114"
"Moratalla-30028","4.284","3.590","7.839","2.557","42","16.149","14.324"
"Albudeite-30004","610","501","1.373","2.559","43","16.141","14.609"
"Agrupación municipios pequeños-30","564","474","1.374","-","-","18.896","16.415"
"Rioja, La","191.039","168.263","316.798",NA,NA,"25.956","21.518"
"Rioja, La","191.039","168.263","316.798",NA,NA,"25.956","21.518"
"Lardero-26084","6.680","5.994","10.500","191","1","30.537","24.619"
"Logroño-26089","93.583","83.336","151.136","310","2","28.653","23.495"
"Alfaro-26011","5.862","5.037","9.476","751","3","25.027","20.865"
"Villamediana de Iregua-26168","4.923","4.469","8.070","810","4","24.688","20.564"
"Navarrete-26105","1.821","1.586","2.941","815","5","24.654","20.466"
"Calahorra-26036","14.085","12.436","24.220","872","6","24.252","20.215"
"Fuenmayor-26064","1.834","1.639","3.134","875","7","24.221","20.340"
"Haro-26071","6.874","5.904","11.408","876","8","24.221","20.293"
"Nalda-26103","536","470","1.023","932","9","23.790","19.590"
"Ezcaray-26061","1.144","998","2.024","942","10","23.696","19.554"
"Arnedo-26018","8.842","7.729","14.875","984","11","23.472","19.734"
"Albelda de Iregua-26005","1.823","1.577","3.446","989","12","23.455","19.608"
"Entrena-26059","938","805","1.536","1.077","13","22.902","19.268"
"Alberite-26006","1.494","1.306","2.422","1.114","14","22.634","19.070"
"Nájera-26102","5.121","4.342","8.045","1.145","15","22.453","18.915"
"Cenicero-26046","1.235","1.094","2.076","1.179","16","22.295","18.818"
"Santo Domingo de la Calzada-26138","3.836","3.297","6.238","1.213","17","22.134","18.688"
"Agoncillo-26002","624","547","1.102","1.243","18","21.998","18.558"
"Murillo de Río Leza-26099","951","832","1.629","1.291","19","21.721","18.488"
"Aldeanueva de Ebro-26008","1.627","1.422","2.761","1.335","20","21.514","18.403"
"Rincón de Soto-26125","2.039","1.792","3.783","1.349","21","21.475","18.320"
"Baños de Río Tobía-26026","978","817","1.579","1.372","22","21.346","18.231"
"Casalarreina-26042","552","465","1.098","1.373","23","21.343","18.211"
"Autol-26021","2.594","2.272","4.512","1.386","24","21.274","18.241"
"Pradejón-26117","2.213","1.972","3.871","1.763","25","19.459","16.815"
"Quel-26120","1.178","1.006","2.058","1.765","26","19.447","16.771"
"Cervera del Río Alhama-26047","1.405","1.244","2.294","1.808","27","19.275","16.815"
"San Asensio-26129","742","625","1.114","1.835","28","19.170","16.599"
"Agrupación municipios pequeños-26","15.505","13.250","28.427","-","-","20.524","17.625"
"Comunitat Valenciana","2.623.510","2.278.579","4.999.138",NA,NA,"24.804","20.516"
"Alicante/Alacant","892.763","772.050","1.858.683",NA,NA,"22.818","19.079"
"Sant Joan Alacant-03119","13.116","11.687","23.915","262","14","29.174","23.598"
"Campello, el-03050","13.915","12.259","28.349","365","18","28.080","22.809"
"Ibi-03079","12.872","10.907","23.489","422","20","27.571","22.609"
"Alicante/Alacant-03014","161.875","142.058","334.887","438","22","27.410","22.407"
"Mutxamel-03090","12.981","11.402","25.352","534","29","26.516","21.669"
"Jávea/Xàbia-03082","12.547","10.787","27.604","752","40","25.018","20.802"
"Finestrat-03069","2.848","2.573","6.715","808","43","24.706","20.552"
"Alfàs del Pi, l-03011","8.071","7.178","20.482","927","59","23.818","19.925"
"Dénia-03063","21.251","18.693","42.166","933","60","23.781","19.742"
"Altea-03018","10.734","9.386","22.290","941","62","23.702","19.755"
"Alcoy/Alcoi-03009","30.768","26.573","58.994","969","65","23.540","19.550"
"Banyeres de Mariola-03021","3.785","3.168","7.068","980","67","23.492","19.578"
"Tibi-03129","929","818","1.614","1.000","72","23.377","19.448"
"Villajoyosa/Vila Joiosa, la-03139","16.734","14.820","34.673","1.008","76","23.328","19.591"
"San Vicente del Raspeig/Sant Vicent del Raspeig-03122","30.117","25.791","58.385","1.016","78","23.265","19.502"
"Santa Pola-03121","15.299","13.135","32.306","1.028","80","23.145","19.365"
