"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Viso del Marqués-13098","1.321","1.015","2.298","2.260","200","17.546","15.485"
"Robledo, El-13901","502","410","1.081","2.309","208","17.260","15.103"
"Arenas de San Juan-13018","547","423","1.011","2.316","209","17.228","15.378"
"Porzuna-13065","1.739","1.349","3.532","2.333","213","17.148","15.188"
"Puebla de Don Rodrigo-13068","610","479","1.178","2.415","225","16.820","14.830"
"Abenójar-13001","682","538","1.375","2.423","228","16.754","14.904"
"Fuente el Fresno-13044","1.784","1.370","3.220","2.434","230","16.705","14.845"
"Moral de Calatrava-13058","2.979","2.275","5.271","2.496","238","16.406","14.635"
"Villahermosa-13089","1.013","782","1.826","2.511","240","16.358","14.490"
"San Carlos del Valle-13074","680","508","1.120","2.561","248","16.131","14.425"
"Fuencaliente-13042","635","490","1.036","2.576","251","16.040","14.360"
"Torrenueva-13085","1.668","1.203","2.702","2.635","260","15.778","14.184"
"Villanueva de la Fuente-13092","1.118","877","2.078","2.690","264","15.457","13.863"
"Agudo-13002","835","666","1.659","2.713","266","15.336","13.762"
"Castellar de Santiago-13033","1.098","856","1.897","2.739","268","15.115","13.749"
"Albaladejo-13004","694","527","1.158","2.768","271","14.909","13.522"
"Alhambra-13010","611","464","1.002","2.815","273","14.471","13.183"
"Montiel-13057","832","663","1.315","2.823","274","14.355","12.941"
"Carrizosa-13032","738","554","1.212","2.857","277","13.840","12.746"
"Villamanrique-13090","728","552","1.148","2.879","278","13.420","12.325"
"Agrupación municipios pequeños-13","12.393","9.613","23.363","-","-","16.131","14.431"
"Cuenca","112.564","92.946","196.762",NA,NA,"20.572","17.658"
"Arcas-16905","1.043","915","1.716","525","18","26.583","22.006"
"Cuenca-16078","32.503","28.362","54.690","622","22","25.827","21.587"
"Villar de Olalla-16263","713","585","1.270","662","25","25.538","21.170"
"Motilla del Palancar-16134","3.345","2.812","5.869","1.211","58","22.157","18.672"
"Tarancón-16203","8.698","7.283","15.271","1.227","60","22.078","18.678"
"San Clemente-16190","3.900","3.139","6.988","1.743","114","19.531","16.785"
"Landete-16117","796","648","1.234","1.870","130","19.029","16.424"
"Horcajo de Santiago-16106","2.032","1.610","3.493","1.905","136","18.931","16.540"
"Fuente de Pedro Naharro-16086","711","590","1.205","1.955","147","18.735","16.244"
"Mota del Cuervo-16133","3.552","2.866","5.990","2.018","160","18.508","16.026"
"Huete-16112","862","691","1.765","2.025","163","18.474","16.195"
"San Lorenzo de la Parrilla-16191","616","497","1.042","2.124","175","18.071","15.799"
"Belmonte-16033","1.073","852","1.903","2.148","180","17.983","15.373"
"Iniesta-16113","2.535","2.062","4.305","2.150","181","17.972","15.674"
"Honrubia-16102","879","685","1.566","2.181","187","17.853","15.617"
"Villamayor de Santiago-16249","1.349","1.044","2.481","2.191","189","17.817","15.649"
"Pedroñeras, Las-16154","3.762","3.109","6.638","2.302","207","17.304","15.093"
"Valverde de Júcar-16236","587","441","1.082","2.362","216","17.029","15.023"
"Pedernoso, El-16153","616","486","1.124","2.377","218","16.989","14.898"
"Sisante-16198","964","767","1.642","2.379","219","16.980","15.088"
"Valeras, Las-16903","778","608","1.496","2.424","229","16.747","14.742"
"Quintanar del Rey-16175","4.284","3.394","7.586","2.443","231","16.672","14.692"
"Casasimarro-16066","1.778","1.424","3.084","2.456","232","16.594","14.799"
"Villanueva de la Jara-16251","1.514","1.225","2.249","2.502","239","16.388","14.524"
"Provencio, El-16171","1.359","1.074","2.437","2.532","242","16.234","14.503"
"Minglanilla-16125","1.263","979","2.221","2.549","245","16.180","14.356"
"Mesas, Las-16124","1.337","1.062","2.336","2.624","256","15.817","14.089"
"Campillo de Altobuey-16042","752","583","1.322","2.630","257","15.794","14.155"
"Casas de Fernando Alonso-16061","713","533","1.169","2.631","258","15.793","14.150"
"Ledaña-16118","957","750","1.563","2.649","261","15.713","14.104"
"Alberca de Záncara, La-16007","894","719","1.590","2.651","262","15.706","14.058"
"Villalpardo-16248","643","514","1.018","2.758","270","14.967","13.492"
"Agrupación municipios pequeños-16","25.756","20.637","47.417","-","-","17.083","15.161"
"Guadalajara","142.389","123.426","259.488",NA,NA,"26.174","21.745"
"Cabanillas del Campo-19058","5.904","5.198","10.442","129","1","32.118","25.777"
"Casar, El-19071","6.324","5.497","12.062","152","2","31.498","25.454"
"Valdeaveruelo-19300","613","543","1.072","232","6","29.707","24.049"
"Chiloeches-19105","2.242","1.958","3.579","317","9","28.611","23.527"
"Trillo-19291","490","444","1.319","318","10","28.607","23.040"
"Uceda-19293","1.553","1.362","2.616","332","11","28.459","23.264"
"Guadalajara-19130","50.272","43.979","85.871","348","12","28.313","23.296"
"Villanueva de la Torre-19319","3.739","3.212","6.573","505","16","26.717","22.153"
"Yebes-19326","1.978","1.835","3.791","524","17","26.587","21.971"
"Alovera-19024","7.021","6.212","12.735","564","19","26.298","21.898"
"Galápagos-19126","1.377","1.195","2.403","603","21","25.967","21.516"
"Azuqueca de Henares-19046","18.590","16.001","35.009","682","26","25.437","21.306"
"Torrejón del Rey-19280","3.013","2.593","5.434","742","29","25.086","21.047"
"Cifuentes-19086","837","728","1.645","786","32","24.850","20.475"
"Tórtola de Henares-19286","652","580","1.044","827","33","24.621","20.706"
"Pozo de Guadalajara-19225","755","662","1.303","861","36","24.353","20.519"
"Horche-19143","1.348","1.161","2.535","867","37","24.298","20.427"
"Marchamalo-19171","4.350","3.764","7.474","881","38","24.196","20.371"
"Fontanar-19117","1.327","1.183","2.370","894","40","24.097","20.263"
"Pioz-19220","2.226","1.928","4.052","925","42","23.819","20.111"
"Torija-19274","760","656","1.448","1.130","51","22.522","19.272"
"Yunquera de Henares-19331","2.115","1.811","4.044","1.199","57","22.179","18.920"
"Sigüenza-19257","2.458","2.160","4.309","1.288","66","21.749","18.456"
"Loranca de Tajuña-19160","670","565","1.249","1.341","69","21.503","18.434"
"Brihuega-19053","1.204","1.015","2.410","1.371","72","21.348","18.134"
"Trijueque-19290","664","572","1.201","1.421","76","21.088","18.154"
"Mondéjar-19192","1.401","1.093","2.645","1.490","81","20.719","17.933"
"Molina de Aragón-19190","2.035","1.726","3.275","1.494","83","20.714","17.844"
"Jadraque-19156","774","643","1.413","1.506","84","20.651","17.790"
"Humanes-19151","757","640","1.496","1.674","103","19.847","17.155"
"Sacedón-19245","812","672","1.533","1.779","120","19.406","16.608"
"Almoguera-19021","589","476","1.289","1.865","129","19.039","16.667"
"Agrupación municipios pequeños-19","13.539","11.362","29.847","-","-","19.725","17.091"
